MGH264_A01	MGH264_A02	MGH264_A03	MGH264_A04	MGH264_A05	MGH264_A06	MGH264_A07	MGH264_A08	MGH264_A10	MGH264_A11	MGH264_B01	MGH264_B02	MGH264_B03	MGH264_B04	MGH264_B05	MGH264_B06	MGH264_B10	MGH264_B11	MGH264_C01	MGH264_C03	MGH264_C04	MGH264_C05	MGH264_C08	MGH264_C12	MGH264_D01	MGH264_D02	MGH264_D03	MGH264_D04	MGH264_D05	MGH264_D08	MGH264_D09	MGH264_D10	MGH264_D12	MGH264_E01	MGH264_E03	MGH264_E05	MGH264_E06	MGH264_E08	MGH264_E10	MGH264_E12	MGH264_F01	MGH264_F02	MGH264_F03	MGH264_F04	MGH264_F07	MGH264_F09	MGH264_F10	MGH264_F12	MGH264_G01	MGH264_G02	MGH264_G03	MGH264_G04	MGH264_G06	MGH264_G08	MGH264_G09	MGH264_G10	MGH264_G11	MGH264_G12	MGH264_H01	MGH264_H02	MGH264_H03	MGH264_H04	MGH264_H08	MGH264_H10	MGH264_H12	MGH26_A02	MGH26_A03	MGH26_A05	MGH26_A07	MGH26_A08	MGH26_A09	MGH26_A12	MGH26_B01	MGH26_B02	MGH26_B05	MGH26_B06	MGH26_B10	MGH26_B12	MGH26_C01	MGH26_C03	MGH26_C05	MGH26_C12	MGH26_D01	MGH26_D03	MGH26_D06	MGH26_D07	MGH26_D08	MGH26_D10	MGH26_E02	MGH26_E04	MGH26_E05	MGH26_E06	MGH26_E07	MGH26_E08	MGH26_E10	MGH26_E12	MGH26_F02	MGH26_F05	MGH26_F08	MGH26_F09
ANAPC11	8.259115226	6.292560981	7.261631013	0	8.149356644	8.357673631	7.120181007	7.081693628	9.056252984	6.00155303	6.138700443	6.719124432	0	7.076895923	5.556108617	5.458753896	9.161361643	0	0	7.899662025	6.195793369	6.915170506	7.537509589	7.563143056	7.994425621	6.508435365	5.739693196	6.055348047	9.247206556	5.288067711	7.842456531	6.147527622	4.740219991	0	7.552260209	0	5.656995356	5.623295052	6.722020464	8.007395094	7.784553466	7.719662201	7.764170068	0	6.807140091	8.224734275	7.493246681	0	7.691383567	7.187144027	6.866978818	8.219568006	7.809963756	8.461044974	8.501904353	7.754032893	7.648381281	7.334144653	2.03850889	0	6.792743773	6.145506466	7.442640703	4.671776845	7.194905754	7.676355632	7.673244609	6.466155304	7.58218245	1.723720191	9.227135222	7.250205285	6.902426946	6.322115927	7.04155621	7.034047375	8.227614077	7.454171417	8.072847147	7.142264374	8.966427692	6.803029987	8.646309124	7.609043625	0	0	8.049638874	8.568076993	7.797559278	7.131482669	8.89592133	5.832025901	8.658491415	7.937563796	7.337523068	8.157757032	7.6393967	8.724613528	4.933705742	8.511158461
ANAPC13	8.979203392	8.285792668	9.234417844	0	5.878775971	0	6.497795188	8.552897438	9.217932646	7.859551866	9.187386096	0	0	7.606089069	0	2.294903689	8.463511416	0	9.07164149	0	7.666179683	3.985988178	8.356134532	0	6.201145183	0	0	0	3.286710928	0	0	0	5.712974759	3.330644641	7.629858121	8.329338219	9.005964217	1.880847864	8.014213267	5.609109666	2.582159434	7.627009006	7.94701766	0	0	0	0	0	0	0	3.869357384	0	0	7.624057363	8.193406956	8.147568785	7.903845591	8.808390546	0	5.955068274	6.672578457	7.222139634	4.684205475	5.740804633	8.305071118	0	0	0	0	0	0	1.035820223	0	0	8.41811586	0	7.879890914	0	8.693122069	7.453927894	9.317566835	7.796555541	8.257479604	4.161058446	6.622848967	0	8.562577644	9.254974194	0	0	8.168560015	7.577391821	0	7.312738884	0	0	0	7.958980241	4.769669238	8.267835791
ANAPC16	6.722843056	2.023209724	0	8.864807569	1.182699007	1.90380998	6.94099079	7.302563738	0	0	1.135902001	0	5.214293176	1.76255776	0	0	9.30085381	4.966287992	6.514964213	3.306993986	8.197040721	2.715236332	7.393748136	0	6.6552191	0.975870432	0	0	0	6.221221744	0	6.106466703	3.793213826	0	0	4.494162726	0	1.880847865	6.952644407	5.442874601	3.058815192	0	7.634178971	1.626029743	7.975684159	1.15507722	5.32015466	6.990326416	2.146755256	8.269356228	3.869357385	7.025487585	2.23983298	6.278174232	1.260518353	0	3.470850763	5.220799627	8.63970428	5.01647602	7.403875904	4.062045022	0	2.358415452	2.597557005	4.689905743	3.721039317	0	2.184791776	2.544986563	6.516392769	0.608941194	7.835247152	1.794551243	2.740792433	1.125871719	0	1.280466943	6.108351776	4.587581136	8.241541736	2.538913253	0	0	5.066870479	0	5.72895779	0	0	2.34894571	3.095158872	7.222162679	0	0	0	5.380398808	5.964275113	0	6.794927661	4.565252441
ANGEL1	6.771851266	8.933928949	0	0	0	0	0	0	0	0	0	7.730788828	0	0	4.072922836	0	0	6.520150937	0	0	9.770765425	7.654008033	0	5.291635766	8.156095079	9.361619833	6.373796697	0	0	0	0	8.369560135	4.954880421	0	0	1.135171812	0	0	0	7.483493765	0	8.549547232	0	2.371070345	3.471108498	0	0	0	0	0	0	0	0	7.897411573	0	0	0	3.238791784	0	0	7.90830955	0	5.250340257	0	6.281691707	0	2.339798016	6.398238336	0	0	0	0	0	9.500720652	0	0	0	0	0	4.956840631	0	0	0	0	0	0	0	0	3.861473804	0	0	0	10.086878164	0	0	0	0	9.144383734	0	0
ANGEL2	1.779553912	0	6.421135917	0	6.434722646	0	4.665280892	6.975597464	0	0	0	0	0	0	0	0	8.071646217	4.966287991	7.378165144	0	7.119276527	0	0	0	5.098603807	0	2.0966469	5.738833202	6.308260992	0	0	7.535924947	0	0	3.507419705	0	5.385513702	4.652270193	3.082208562	4.386873099	4.389113473	6.854605035	0	0	4.966623301	0	0	7.740290909	0	0	0	1.595011657	0	8.043048981	8.850561794	0	8.055246166	4.160280031	0	6.726670154	0	8.98581111	6.64149223	0	4.658355468	0	2.339798015	0	0	0	0	3.38577762	0	0	5.989323257	9.154064948	6.664350862	0	0	3.7029621	0	6.45297743	7.924289881	0	0	0	0	0	0	0	0	0	5.171939177	0	0	5.720881205	7.931794374	5.680708002	0	0
ANGPT2	1.148348457	0.820663308	3.243285349	0	0	0	0	0	0	0	1.135902001	1.235891665	0	6.924091042	1.286318167	0	0	0	0	0	1.40230849	0	0	3.198343986	0	1.982635892	0	7.560526479	0	0	0	0	0	5.790866068	4.44255132	0	0	6.927554553	0	6.690146447	4.389113473	4.581699201	4.555857256	0	4.404547994	1.15507722	0	3.652245476	0	3.799318477	0	0	3.078413017	0	0	0	0	6.416169608	0	0	0	0	0	4.208814886	0	2.275212361	0	0	0	0	0	0	3.444372193	0	0	0	0	0	0	0	2.349959549	0	0	0	7.353947222	4.968742606	0	0	0	0	3.095158872	0	6.28744736	0	0	0	0	0	0	0
ANK2	6.938521059	0	0	0	0	0	0	0	0	0	0	0	8.050211937	8.442876121	9.379032141	9.138626534	0	4.966287991	0	6.574407289	0	0	2.925914637	3.573543303	7.033757106	0	4.7664431	4.76559891	0	0	0	6.0726784	0	8.138930363	5.982588996	0	0	0	0	0	7.909538978	6.430070506	0	0	7.343676868	0	9.744697504	3.652245476	0	9.166783324	0	0	0	0	4.149732222	8.382019655	8.387550268	4.160280031	0	0	5.75925153	0	7.541623398	2.999409416	2.334020924	4.801408151	0	0	8.107805029	0	0.670650541	9.667804834	0	9.041421192	6.768225407	9.888818261	0	8.737735457	0	0	0	0	0	9.468128714	7.836852153	0	0	7.689918996	0	7.399814058	0	0	0	0	2.417999678	0	0	0	0	0
ANKFY1	1.148348456	0	0	0	8.499384262	0	7.120181006	2.070857339	0	0	0	1.235891664	3.531402706	0	0	6.566405651	3.417918136	12.007196943	0	0	0	0	6.493358656	0	4.010762573	0	0	0	0.663502415	8.695983588	5.278436363	1.481336766	8.371392179	0	0	4.950056809	6.184147378	0	0	0	0	0	0	0	0	0	0	0	0	0	4.819135956	4.968760952	0	4.321514173	1.260518352	8.770271011	0	0	6.459920036	0	8.289525926	8.652134214	0	3.90626063	0	0	0	0	0	1.72372019	8.256313187	0	0	0	0	0	0	0	0	1.001366837	0	0	0	0	0	4.968742605	0	1.057637041	0	0	0	0	0	1.135435981	4.505984625	0	4.662084927	0	0	7.882252155
ANKHD1-EIF4EBP3	0	0	3.243285349	0	4.311905796	7.294317793	5.066033617	8.143229716	0	2.869258114	0	0	0	5.808354195	9.023744202	6.306412563	0	5.943026401	1.936088507	7.924221678	4.372875743	2.715236332	8.88529391	0	0	7.06443589	8.875384505	8.729913753	2.171059284	5.693844577	7.506531384	7.419934518	2.402671639	3.330644641	9.259627013	1.762516519	8.509823481	7.386644501	8.822986655	1.219128293	0	0	0	0	0	9.621104819	8.550470752	5.158607592	5.712172197	0	0	5.143902863	3.078413016	7.777643405	7.818433315	0	8.612586493	7.989825706	0	9.835578527	8.480572399	7.591910693	8.275488388	8.002142675	7.113022697	8.231575112	2.339798015	1.011787529	0	0	0.670650541	1.035820223	0	3.443116215	0	0	7.029784637	2.40259329	1.161057924	7.564960362	8.072744901	0	4.46177901	2.384720859	0	0	5.274589086	0	6.524418356	0	0	7.89178937	9.490913147	5.538546784	8.371412621	0	1.188963353	0	10.850994588	1.140648012
ANKIB1	0	8.246294325	4.165024501	0	6.516257983	0	0	0	4.771085443	0	4.050350978	5.872802175	3.531402707	0	0	5.69470639	0	7.250815356	0	6.635176928	1.40230849	9.218544055	4.378418689	0	6.201145184	0	4.368967237	0	0.663502416	0	2.568523284	8.532032786	8.234324238	8.505510106	0	3.696491534	6.255927611	2.670348357	5.833351743	6.762519799	7.414507878	7.55339249	0	6.630395674	6.16240646	4.674644176	4.607064898	0	0	0	0	0	0	8.159437151	1.260518353	3.297244207	0	0	0	0	1.470989583	0	0	4.458787334	0	5.43454741	0	0	4.227514533	0	0	0	4.376536946	1.794551243	4.174176419	7.205640578	0	3.259280806	0	7.646574923	0	0	0	0	0	0	0	2.085614452	0	7.740893473	0	6.004215346	0	0	0	0	7.260277383	0	0	0
ANKMY2	5.319444536	0	0	0	7.339420986	9.556819471	0	0	0	0	0	8.080542941	0	8.504379501	0	7.830472828	0	6.520150938	0	9.652130935	0	8.08707957	0	1.89776248	2.008616472	0	0	7.526761097	5.78933438	6.940528447	8.489420105	8.573342405	0	0	3.507419705	8.38202875	0	0	0	1.219128293	0	0	0	0	5.94336716	0	5.00722637	0	4.430943719	0	6.688053592	0	0	0	0	0	0	0	0	3.522409545	6.568675867	4.205384873	0	7.569184189	6.554097545	0	9.382018903	0	0	0	0	0	0	0	0	0	7.274487818	9.424175564	10.077101933	5.002647073	0	0	6.411821107	8.975759145	0	0	0	8.388833194	8.390974073	8.695389561	0	8.485666017	0	7.725505983	2.417999678	0	4.241721289	0	4.854017634	0
ANKRA2	0	0	0	0	0	0	0	0	0	0	0	0	9.15831732	0	0	0	0	4.966287991	0	0	0	0	7.125058203	0	0	0	6.483538779	0	1.116262585	0	0	5.775108397	0	7.435890461	0	0	0	0	7.929233139	4.852461434	3.456373457	2.917610406	3.557134986	0	0	0	0	0	0	0	6.483753676	0	0	0	3.902862802	0	0	0	0	0	7.006664063	0	0	0	4.406702199	0	0	1.011787529	8.334742585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.039384532	0	0	6.457559859	0	0	0	0	0
ANKRD10	10.931052462	9.551220169	0	10.134675458	8.958001823	3.095383012	7.935108001	5.300722373	4.068921096	10.56677393	11.768300249	9.426518957	5.155650421	3.696545499	10.24055326	8.345620898	0	11.148837812	9.683252342	9.412784532	9.754389861	8.168426124	7.125058203	7.604150815	10.06945823	9.84408171	9.742029635	9.612259275	7.255689941	9.750589692	8.35824362	10.191591923	9.136231727	10.68811761	7.085728172	9.109992942	9.05373895	9.414147425	8.81104056	7.798310468	9.11129507	9.502498773	7.870611172	9.557342323	8.42642983	8.518199936	9.17360901	9.488884025	8.509381311	9.569953991	3.869357385	1.595011657	9.483608963	7.002588922	10.595785605	8.561333827	8.357637395	8.43896364	10.473148263	8.940188173	11.685448983	12.786447399	7.903535547	9.997916117	7.577263207	0	5.231158121	8.466356099	6.500673704	9.443910654	0.670650541	5.592832349	0	7.481988577	8.126881615	4.623321064	2.878994971	6.447095853	9.191041356	0	5.75328349	0	7.924289882	10.684429487	0	5.945520879	6.318522181	0	8.156022873	8.105032249	0	6.194048142	0	8.408153015	3.810739773	6.852643593	5.840843365	0	5.698044658	7.221011293
ANKRD11	1.779553913	4.277183504	0	4.453941944	0	8.674286801	5.636568489	5.615311546	0	8.020049983	4.495443486	5.067227783	7.316870295	5.610576862	4.896318382	3.669212411	0	0	0	2.350499668	0	7.111861208	5.835322922	5.388713835	0	0	6.125567816	0	3.197696409	7.59915971	0	0	0	8.04306798	5.408989531	0	3.600260946	3.177717426	5.395064401	6.652551119	4.950940626	0	0	0	6.670924305	0	0	0	0	3.503066851	0	0	0	7.55287591	7.015863949	7.423916683	3.740534148	0	0	5.142968221	0	7.831767883	0	6.774118253	0	0	0	0	0	0	0	6.829756965	0	0	0	0	0	0	1.161057925	0	0	0	0	7.296731399	7.034222177	6.933768328	9.046913841	0	0	2.34894571	0	0	5.171939177	1.762858539	0	6.601285606	6.541514553	0	0	0
ANKRD12	0	1.340525649	0	3.419218608	4.637568962	7.301927628	0	5.044989744	0	6.001553029	7.200675177	0.74642831	6.739280472	0.846123224	6.298449253	7.480449318	8.382065675	0	0	4.678074798	1.402308489	6.508382455	0	0	7.462623017	3.067012665	7.086265116	0	0.663502415	7.742840829	8.428767764	7.002670989	0	5.891182758	3.507419704	0	0	0	3.385211612	1.946854048	9.460164809	3.437481227	8.952670149	8.964927449	3.471108497	7.874143123	3.135891399	5.56351197	0	0	6.168583191	5.300065943	0	7.452151231	6.8336651	6.220839351	0	4.415520562	8.789094735	6.408143579	2.659093231	5.737246178	8.403122345	2.999409416	2.334020923	0	2.339798015	1.6006579	0	0	0	0	8.612824663	1.794551242	2.765123385	0	4.326905753	0	0	7.057994291	0	0	8.607932286	0	0	0	8.562577644	0	7.890263344	0	0	0	6.729972606	4.24433462	0	0	0	8.145074731	0	1.140648011
ANKRD13C	0	0	0	8.946868917	5.997107423	5.532340401	0	0	0	0	0	0	0	0	4.072922836	5.011571601	0	0	0	0	0	0	0	4.328006131	0	0	6.812790936	6.147100958	2.346946294	1.822991737	0	0	7.807138293	0	4.442551319	0	8.144186397	5.623295052	0	7.874911131	0	8.07571103	0	1.626029742	8.339229052	2.226782028	8.323717068	5.563511971	0	3.799318477	0	0	0	0	2.375026687	0	5.49715094	8.540559785	9.223460565	0	6.986644188	0	3.739257796	0	0	9.335916698	0	3.480792364	0	0	0	1.63252785	7.314446361	0	0	0	0	0	0	1.001366837	3.079137448	0	0	6.845559949	0	7.514791939	0	0	0	0	0	0	0	0	4.199843533	5.098568362	9.286108974	0	4.252942973	0
ANKRD17	0	7.345821856	0	0	8.801328158	0	6.044337705	5.413381344	9.374783624	9.096971808	0	0	4.467627756	9.289029241	7.82610697	8.642180447	9.670285943	4.966287991	0	0	8.823021769	8.431400216	9.208624622	9.177384187	0	0	8.331632924	9.24791492	10.161748568	6.010187625	3.822939286	4.098340287	6.969779378	5.53303398	10.034216353	6.321306059	5.854894956	7.214904744	6.670059107	8.612682999	0	8.925225764	9.459506558	5.841441003	6.807140091	2.834875447	0	0	6.255930359	0	2.96484144	0	0	7.669632499	1.260518353	5.903738826	9.373916304	6.26604233	3.368016934	3.843174828	5.501534489	7.304064884	7.096977381	9.308802445	2.334020924	0	0	2.604555215	0	2.486904837	0	8.800230619	8.479327152	9.151999234	0	0	2.878994971	3.259280806	9.160200773	1.586784663	0	10.174629351	0	8.508305274	0	0	5.274589087	8.640241895	0	0	3.095158872	2.681685812	0	8.5016323	2.417999678	0	8.360414714	0.789848842	5.651664987	7.021409054
ANKRD19P	0	0	0	4.178989896	0	0	5.066033618	0	0	0	0	0.758036228	0	0	0	0	0	0	0	0	1.402308489	0	0	0	0	1.713929812	5.668972663	0	0	0	0	0	0	0	0	4.049091699	0	0	0	0	4.96713664	0	0	0	4.46511456	0	0	9.64300846	0	0	0	0	0	0	0	0	1.477308607	0	0	0	0	0	0	2.191666916	6.882373911	4.817217865	0	0	2.207125666	1.723720191	0	0	2.571164048	3.080079111	0	0	0	0	0	0	0	0	0	0	0	0	6.881386022	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD27	6.98082278	0	0	0	0	0	0	0	0	0	6.523789252	6.277476779	0	0	7.691979828	0	0	0	0	0	0	0	0	1.897762479	0	0	7.336104184	7.965273437	0	1.822991737	5.87135638	0	0	0	3.507419704	0	1.161201613	3.849456093	0	0	4.697204926	0	9.07033416	4.145106121	0	0	0	4.593700283	0	0	0	0	8.031437461	4.882222111	0	7.091687656	4.472453005	0	4.29640177	0	0	0	0	0	0	5.434547409	0	0	1.471606713	0	0	0	2.571164048	0	0	0	0	0	3.444893348	0	7.685834899	2.538913253	4.461779009	0	0	0	0	0	8.712042364	0	0	0	0	0	0	0	0	0	0	0
ANKRD28	1.716862755	5.785653609	10.019477521	4.635972755	1.813472312	8.376578993	0	9.090725527	3.03694803	6.641083451	0	0.803555875	0	0	1.955348537	0	2.350850088	0	0	3.52306281	1.579335978	1.954675669	5.599430474	4.110722251	0	8.185114531	3.997882749	0	8.719890577	2.741021846	5.278436363	4.098340286	8.068868346	7.343135164	5.291644907	4.243875282	8.991177544	4.589347862	4.948432536	0	8.946906741	6.123893457	2.711898969	4.148505001	3.788010048	4.502595164	4.051402039	7.997765396	0	8.677164612	7.090970176	0	5.920645367	5.090924298	0	4.16388963	2.18054387	8.922449562	7.570168047	8.787733267	7.368729079	3.927900281	0	7.428610137	3.183355242	4.9858239	5.028810196	8.921276158	5.116564814	7.809789931	2.734984405	4.560195286	0	8.139453086	2.824213894	1.765593049	4.522328476	0	0	7.749771337	4.132693639	7.905948891	0	0	0	4.968742605	9.683516313	0	7.024576052	0	0	0	0	6.524069419	10.24277893	0	1.205071157	0	5.308176603	0
ANKRD36	6.411972284	7.085184381	0	7.966008223	6.363143014	5.684754974	6.611244806	0	0	5.55968936	5.261225019	6.491100483	3.531402706	4.319650079	5.413853308	0	2.080428694	4.966287991	2.575506273	5.575890063	5.157401008	6.697461565	8.197016169	1.89776248	4.864079204	7.850283419	7.814574133	4.331051866	7.937898799	6.17382439	8.342839091	7.532996409	7.260647275	8.386342541	3.507419705	5.793123661	7.468163915	7.208638133	8.353756535	4.64067433	3.443200877	6.535280335	0.984887933	4.35236795	6.692194773	6.898940236	5.674991795	8.20829166	7.361607657	8.269235381	4.336058868	2.434485101	5.72937506	7.818680855	3.30820347	8.468359114	7.476861182	4.694774079	9.257634366	9.095269584	6.420152908	8.268808824	0	7.571308695	4.098278554	6.076437751	3.176863491	5.088011359	3.044887312	9.753965231	1.246684218	3.973051499	0	6.619211468	5.844130335	6.360075597	0	0	3.90034768	5.646533974	0	7.971302032	0	5.34063104	7.855202754	7.869209098	6.03302694	0	0	6.848973433	0	8.727714559	4.211413141	7.741731202	3.694524943	0	0	4.090485327	5.149338889	4.979187987
ANKRD36B	3.973491349	6.996894547	3.243285349	0	4.369208359	7.465892385	5.097186461	0	0	2.788154593	6.581574677	1.703332151	4.118703491	1.889115354	8.091662819	0	0	0	8.71801669	0	0.046651475	4.678942675	5.219731773	0	7.753093038	4.293758509	4.405120421	3.081909635	2.807917638	8.022745642	3.399400445	7.628199964	2.031122241	7.42147505	4.44255132	8.262728844	0	5.933669687	0	4.235408999	0.137197999	7.184804155	0	6.846962926	7.236755556	6.566274331	6.324597276	5.584540795	8.562807397	3.383113739	6.503372252	8.005716758	8.646547109	7.437471424	1.863183665	7.00408809	7.376135518	6.078777487	5.771266845	5.378493035	4.434793265	9.454905851	5.250340257	8.747737512	0.05716724	3.297717374	0.112695265	8.732542163	3.426691728	9.518239336	0	1.128831333	0	6.858406626	7.864761782	3.112649933	7.959414388	0	5.988189985	6.461148967	0	0.067797167	0	0	9.478714206	8.862366796	0	0	3.067433536	4.149469069	0	1.742849509	0	0	0	0	0	0	0	8.244355556
ANKRD36C	7.857917322	5.462698721	0	6.30359483	6.581072957	2.26637577	5.37932246	4.733945488	2.646386289	6.907529088	4.403329653	7.032386245	7.290344406	6.999775673	4.460093873	0	0	0	2.439286546	9.069588375	0	5.820731213	3.526856024	0	5.740134528	3.942350863	6.667338836	1.864713221	4.990910897	6.168234312	8.230929874	2.745829597	5.637317323	7.896343589	0	7.161382756	3.904168959	4.702934858	6.26535054	5.312502275	2.582159434	0	0	5.583430014	6.520493553	6.367840473	5.624627839	3.803397266	2.310251295	5.375877527	0	4.97480033	4.094674449	6.133774317	3.582328265	8.225681843	0.998658736	1.749838444	5.379352926	3.792937439	4.0309149	6.739647602	2.843434653	5.972660042	3.920989077	2.966656137	0	0	6.903020088	4.145335697	0	0	0	0	2.177698362	2.504907574	0	1.280466942	7.355982467	0.61447875	0	7.057149141	0	2.464145087	0	0	7.415230744	0	0	0	0	2.561088287	0	0	7.801419736	0	0	0	0	8.267187128
ANKRD39	0	0	0	0	0	5.178649422	5.85481209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.417939043	0	0	6.25925432	7.482741322	7.245538484	5.738833202	0	0	0	0	0	8.138930363	0	7.024766201	0	0	0	5.925114163	7.535812586	0	7.20822397	0	0	0	3.1358914	0	7.953254218	0	5.960385758	0	0	7.972067226	6.474704337	0	0	7.838453076	3.747691177	0	0	0	0	5.169268782	0	0	0	0	0	0	0	0	0	0	0	0	6.987050444	0	8.150218905	7.73063996	0	0	0	0	0	0	7.566388374	0	7.374019673	0	0	7.966582667	0	0	0	8.784004168	0	7.710554965	0	0
ANKRD40	6.865139383	5.709748204	0	7.067215501	1.813472312	6.593842236	6.361887187	2.888056516	7.794160827	2.869258115	0	6.477231534	0	6.764003877	7.661541005	0	6.035328616	0	0	0	6.661603668	0	0	5.187551067	3.332261703	8.84103743	7.501779687	8.556700213	5.922243506	6.940528447	0	6.761875531	5.307076292	0	0	6.682264431	1.169155731	5.542553516	6.010944167	0	0	5.078083672	0	7.607744792	4.966623301	2.562633129	6.437825169	5.158607593	7.828252431	5.112608386	5.130806515	8.229219167	0	5.934245167	7.163633999	6.276678741	0	0	4.266424908	1.539740179	7.175341958	6.512430671	5.250340257	2.16940005	7.194905754	2.275212361	2.339798016	0	0	0	0	0	0	8.668149482	3.17232224	0	3.108967596	6.206988493	0	0	0	0	0	0	7.353947222	4.968742606	0	0	0	0	0	0	0	0	0	0	0	5.529551904	2.099213635	2.540821162
ANKRD42	3.250385604	0	3.243285349	0	1.174685211	8.865379145	3.189773554	2.070857339	7.448009102	3.055889078	1.135902	0	5.030689682	2.720633768	0	7.805493039	0	0	0	0	0	0	2.11529114	0	7.386447795	0.79745818	0	2.424080483	0.663502416	0	2.568523283	5.828405133	0	0	4.81101037	0	0	0	3.082208563	7.461920834	3.59384915	6.770471465	0.984887933	0	0	0	4.051402039	0	0	0	0	0	3.103629317	5.1628068	0	0	0	0	0	0	0	3.281542646	0	0	0	0	2.339798016	1.011787529	0	0	0	1.035820223	0	1.794551243	0	0	4.724552687	0	0	0	0	0	9.041373395	0	5.066870478	0	0	0	0	0	0	1.488181101	4.751528989	0	0	0	0	0	0	0
ANKRD44	1.148348457	0.820663307	9.234417844	0	0	9.645586299	4.108470494	7.814392696	4.068921095	8.836677194	0	0	0	0	7.452239685	7.49770629	0	8.829449038	0	9.744668689	0	8.168426124	2.925914636	1.897762479	0	0	5.983351328	0	0	6.361426718	9.162678919	7.767130755	3.793213826	7.8303925	0	0	0	7.856304991	3.082208562	0	7.498093399	8.093134029	0	0	8.586453023	1.155077219	8.580139564	5.158607592	0	8.351558601	6.369619182	9.613080791	4.944267675	8.060261854	2.718804858	0	0	7.407698124	0	8.86250441	7.310327923	6.723659768	0	6.076150626	5.629503514	0	0	0	1.87531819	8.738041221	0	0.608941194	0	0	5.350165432	0	0	0	1.161057924	0	0	2.538913253	0	0	6.622848966	0	0	0	1.791162223	0	6.256532203	0	0	0	0	0	2.887416705	0	1.401837336	0
ANKRD50	0	0	8.087586898	0	0	7.58635491	5.066033618	0	7.893263118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.278189538	0	0	0	1.970712385	0	0	0	0	0	7.840368638	7.127095407	8.032806376	0	0	0	0	7.245899851	0	0	0	4.27831463	0	0	0	0	0	0	3.990382672	8.175323244	0	9.075885404	0	0	0	0	4.476734026	4.205384873	6.64149223	0	0	0	9.631453429	9.413613775	0	0	0	0	0	0	6.768225407	0	0	0	0	0	0	0	0	8.659075163	7.353947222	0	7.828153655	0	0	0	0	0	0	0	0	0	9.708682622	0	0	4.578407797
ANKZF1	0	0.833126671	3.281485409	8.474922555	0	8.010064667	5.066033618	9.124217258	0	3.23407067	1.763461849	0.746428311	0	0	0	5.331543415	0	4.966287992	1.936088507	9.238082864	1.40230849	0.946981398	0	2.743744954	2.008616473	0.79745818	0	0	0	0	0	8.037056042	0	0	5.005226269	0	0	2.670348357	0	0	9.578405557	6.056569571	0	1.645404911	0	8.438806012	0	4.593700284	0	0	7.681040736	0	0	8.486735608	1.260518353	1.979459533	0	4.35730387	0	0.966216845	0	0	0	4.860807418	3.714384018	9.897075258	3.189766875	1.364814607	1.476211792	1.7731581	1.126696151	9.202506427	0	3.738268215	0	0	0	1.280466943	1.801071349	1.001366838	2.240480744	0	6.229705276	7.878761499	0	0	0	1.057637042	1.791162223	0	0	2.70583925	0	0	3.320873229	0	1.188963353	0	0.864880994	1.148510074
ANLN	7.246582915	5.906861144	0	7.578557664	3.293084	7.271009486	4.665280891	9.346240302	5.241336565	0	0	0.74642831	0	0	8.626801077	0	0	0	0	0	1.402308489	9.077007926	0	0	0	6.877863597	10.403501428	0	9.151202753	0	8.329039491	2.196653119	0	0	6.710399279	0	2.571857558	3.849456093	0	4.979356913	0	4.93081823	0	0	0	0	0	5.879325853	5.970612725	0	0	0	0	8.448026038	6.851212844	0	7.273293215	0	0	0	0	0	0	2.169400049	0	9.063006037	0	0	0	0	0	7.31824565	4.376536945	0	0	0	0	0	0	9.568782818	0	0	0	5.120162329	0	5.945520879	0	8.398113256	0	9.013767324	0	0	0	1.762858539	8.954922255	0	0	0	0	0
ANO6	1.148348457	0.820663307	0	7.741247512	0	0	0	0	0	5.279521775	0	1.891628156	9.552572254	4.729293968	0	2.294903689	0	0	0	0	2.099794726	0	5.658115788	1.897762479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.317356245	0	2.917610406	0	8.341748824	4.966623301	0	0	0	0	3.799318477	2.96484144	0	4.544766201	0	4.853814111	0	0	4.718092882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.571164048	0	0	0	5.089716292	0	0	0	0	4.339568062	0	0	0	0	0	0	0	5.242246691	0	0	0	0	0	0	7.319276423	0	0	0
ANO10	0	6.818490244	0	0	0	7.876213346	0	0	0	1.633337146	0	0	6.22763889	0	0	0	0	6.520150937	5.697106934	0	0	0	0	1.897762479	0	0	0	7.420447565	0	0	2.568523283	7.706533946	0	6.199374177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.922820516	3.675117322	4.871151371	0	0	0	0	0	3.739257797	0	2.334020924	0	0	0	0.915829031	0	6.632809645	0	0	3.983171755	0	0	0	0	0	0	0	0	5.024751288	0	0	0	0	0	1.157346419	0	0	7.966582667	0	0	0	0	0	0	0	3.950244808
