"cells"	"ct"	"umi"	"cdr"
"bBM118"	"bBM118"	"ER"	8867	0.118985995390888
"bBM119"	"bBM119"	"GR"	9414	0.119056904804113
"bBM120"	"bBM120"	"MO"	8211	0.113880517638717
"bBM121"	"bBM121"	"GR"	10103	0.124694203155469
"bBM122"	"bBM122"	"BA"	8052	0.107285942208828
"bBM123"	"bBM123"	"GR"	9765	0.124339656089346
"bBM124"	"bBM124"	"GR"	8627	0.110795958163446
"bBM125"	"bBM125"	"GR"	7945	0.109945045204751
"bBM126"	"bBM126"	"ER"	7866	0.108136855167523
"bBM127"	"bBM127"	"GR"	8157	0.102428647402943
"bBM128"	"bBM128"	"GR"	8279	0.105052295692253
"bBM129"	"bBM129"	"MO"	8594	0.117567807126396
"bBM130"	"bBM130"	"GR"	8331	0.113065059386634
"bBM131"	"bBM131"	"GR"	8324	0.104910476865804
"bBM132"	"bBM132"	"ER"	8326	0.112533238787449
"bBM133"	"bBM133"	"GR"	9134	0.107534125155114
"bBM134"	"bBM134"	"GR"	9795	0.120758730721503
"bBM135"	"bBM135"	"ER"	7058	0.0931749689771317
"bBM136"	"bBM136"	"ER"	6985	0.101329551497961
"bBM137"	"bBM137"	"GR"	8942	0.11146959758908
"bBM138"	"bBM138"	"GR"	9620	0.121999645452934
"bBM139"	"bBM139"	"ER"	8672	0.112568693494061
"bBM140"	"bBM140"	"MO"	9552	0.120014181882645
"bBM141"	"bBM141"	"MO"	8077	0.108739585179933
"bBM142"	"bBM142"	"ER"	7817	0.104662293919518
"bBM143"	"bBM143"	"GR"	8481	0.113809608225492
"bBM144"	"bBM144"	"GR"	9432	0.117248714766885
"bBM145"	"bBM145"	"GR"	8296	0.0917922354192519
"bBM146"	"bBM146"	"GR"	8646	0.112568693494061
"bBM147"	"bBM147"	"MO"	9174	0.119659634816522
"bBM148"	"bBM148"	"ER"	6465	0.0959404360928913
"bBM149"	"bBM149"	"GR"	7519	0.103244105655026
"bBM150"	"bBM150"	"GR"	7380	0.0867931217869172
"bBM151"	"bBM151"	"ER"	7171	0.100726821485552
"bBM152"	"bBM152"	"ER"	6801	0.101577734444247
"bBM153"	"bBM153"	"ER"	7328	0.107073213969154
"bBM154"	"bBM154"	"GR"	7670	0.109342315192342
"bBM155"	"bBM155"	"GR"	7413	0.098244992022691
"bBM156"	"bBM156"	"ER"	7374	0.100549547952491
"bBM157"	"bBM157"	"ER"	7189	0.105406842758376
"bBM158"	"bBM158"	"ER"	6878	0.0982095373160787
"bBM159"	"bBM159"	"GR"	9445	0.111682325828754
"bBM160"	"bBM160"	"ER"	7157	0.103527743307924
"bBM161"	"bBM161"	"ER"	7301	0.0995213614607339
"bBM162"	"bBM162"	"ER"	8154	0.111824144655203
"bBM163"	"bBM163"	"ER"	7452	0.103279560361638
"bBM164"	"bBM164"	"GR"	8035	0.108455947527034
"bBM165"	"bBM165"	"ER"	7499	0.103208650948413
"bBM166"	"bBM166"	"GR"	6848	0.0955858890267683
"bBM167"	"bBM167"	"GR"	7326	0.100017727353306
"bBM168"	"bBM168"	"GR"	7201	0.0820067363942563
"bBM169"	"bBM169"	"ER"	6183	0.089345860663003
"bBM170"	"bBM170"	"ER"	6853	0.104626839212906
"bBM171"	"bBM171"	"GR"	6825	0.0933167878035809
"bBM172"	"bBM172"	"ER"	7454	0.10193228151037
"bBM173"	"bBM173"	"ER"	7061	0.104130473320333
"bBM174"	"bBM174"	"ER"	6703	0.0976068073036696
"bBM175"	"bBM175"	"GR"	7294	0.101365006204574
"bBM176"	"bBM176"	"ER"	6740	0.0971104414110973
"bBM177"	"bBM177"	"ER"	6880	0.103598652721149
"bBM178"	"bBM178"	"ER"	7207	0.102145009750044
"bBM179"	"bBM179"	"GR"	7226	0.096720439638362
"bBM180"	"bBM180"	"GR"	7521	0.0911185959936182
"bBM181"	"bBM181"	"ER"	7152	0.102003190923595
"bBM182"	"bBM182"	"GR"	8513	0.11285233114696
"bBM183"	"bBM183"	"GR"	6232	0.0926076936713349
"bBM184"	"bBM184"	"GR"	7546	0.102960468002127
"bBM185"	"bBM185"	"GR"	7259	0.100265910299592
"bBM186"	"bBM186"	"MO"	8650	0.11547597943627
"bBM187"	"bBM187"	"MO"	6403	0.0966849849317497
"bBM188"	"bBM188"	"ER"	6868	0.100124091473143
"bBM189"	"bBM189"	"GR"	6775	0.0888494947704308
"bBM190"	"bBM190"	"DC"	6657	0.105513206878213
"bBM191"	"bBM191"	"ER"	6482	0.0911540507002305
"bBM192"	"bBM192"	"ER"	6501	0.0908349583407197
"bBM193"	"bBM193"	"GR"	7616	0.100443183832654
"bBM194"	"bBM194"	"GR"	7219	0.0971458961177096
"bBM195"	"bBM195"	"MO"	5878	0.0886013118241447
"bBM196"	"bBM196"	"GR"	5624	0.0895940436092891
"bBM197"	"bBM197"	"ER"	6721	0.0995922708739585
"bBM198"	"bBM198"	"ER"	6346	0.0926431483779472
"bBM199"	"bBM199"	"ER"	7130	0.102180464456657
"bBM200"	"bBM200"	"GR"	5381	0.0693494061336642
"bBM201"	"bBM201"	"ER"	6450	0.0932458783903563
"bBM202"	"bBM202"	"ER"	7061	0.10239319269633
"bBM203"	"bBM203"	"GR"	6478	0.0853394788158128
"bBM204"	"bBM204"	"ER"	6486	0.096365892572239
"bBM205"	"bBM205"	"GR"	7916	0.110122318737812
"bBM206"	"bBM206"	"ER"	6641	0.097535897890445
"bBM208"	"bBM208"	"GR"	6000	0.0856231164687112
"bBM209"	"bBM209"	"MO"	6071	0.0916504165928027
"bBM210"	"bBM210"	"ER"	5724	0.0871476688530402
"bBM211"	"bBM211"	"GR"	6566	0.0844176564438929
"bBM212"	"bBM212"	"ER"	5845	0.0929267860308456
"bBM213"	"bBM213"	"GR"	5778	0.0723276014890977
"bBM214"	"bBM214"	"ER"	6804	0.104945931572416
"bBM215"	"bBM215"	"ER"	6822	0.0973231696507711
"bBM216"	"bBM216"	"MO"	7045	0.0957986172664421
"bBM217"	"bBM217"	"ER"	5958	0.0917567807126396
"bBM218"	"bBM218"	"ER"	6015	0.091685871299415
"bBM219"	"bBM219"	"ER"	6576	0.0983868108491402
"bBM220"	"bBM220"	"ER"	6911	0.102038645630207
"bBM221"	"bBM221"	"ER"	6013	0.087466761212551
"bBM222"	"bBM222"	"GR"	5869	0.0686403120014182
"bBM223"	"bBM223"	"ER"	7324	0.104165928026946
"bBM224"	"bBM224"	"ER"	6962	0.0966495302251374
"bBM225"	"bBM225"	"GR"	7238	0.100124091473143
"bBM226"	"bBM226"	"ER"	6197	0.0918985995390888
"bBM227"	"bBM227"	"ER"	5581	0.0855167523488743
"bBM228"	"bBM228"	"GR"	6369	0.0867931217869172
"bBM229"	"bBM229"	"ER"	5685	0.0879985818117355
"bBM230"	"bBM230"	"GR"	6260	0.0827158305265024
"bBM231"	"bBM231"	"GR"	5860	0.0916504165928027
"bBM232"	"bBM232"	"ER"	6738	0.0958340719730544
"bBM233"	"bBM233"	"ER"	5681	0.0921822371919872
"bBM234"	"bBM234"	"ER"	6143	0.0892394965431661
"bBM235"	"bBM235"	"MO"	6724	0.0958340719730544
"bBM236"	"bBM236"	"GR"	7502	0.0983868108491402
"bBM237"	"bBM237"	"GR"	5510	0.0861194823612835
"bBM238"	"bBM238"	"ER"	5266	0.0823612834603794
"bBM239"	"bBM239"	"ER"	6165	0.0936358801630917
"bBM240"	"bBM240"	"ER"	5979	0.0894876794894522
"bBM241"	"bBM241"	"GR"	7067	0.0965077113986882
"bBM243"	"bBM243"	"ER"	5789	0.0903385924481475
"bBM244"	"bBM244"	"GR"	7010	0.097535897890445
"bBM245"	"bBM245"	"GR"	5748	0.0852331146959759
"bBM246"	"bBM246"	"ER"	5926	0.0916149618861904
"bBM247"	"bBM247"	"GR"	5662	0.0670448502038646
"bBM248"	"bBM248"	"ER"	5776	0.0905513206878213
"bBM249"	"bBM249"	"GR"	5915	0.089345860663003
"bBM250"	"bBM250"	"ER"	6460	0.0990249955681617
"bBM251"	"bBM251"	"GR"	5010	0.0635348342492466
"bBM252"	"bBM252"	"GR"	6711	0.092394965431661
"bBM253"	"bBM253"	"MO"	5187	0.0857649352951604
"bBM254"	"bBM254"	"ER"	5121	0.08360219819181
"bBM255"	"bBM255"	"GR"	5521	0.0702003190923595
"bBM256"	"bBM256"	"ER"	5836	0.0871831235596525
"bBM257"	"bBM257"	"ER"	5528	0.084311292324056
